"Augmentations","DICE mean","DICE (pe) mean","DICE (nf) mean","DICE std","DICE (pe) std","DICE (nf) std","Hausdorff 95 mean","Hausdorff 95 std","ASD mean","ASD std"
"All",0.9393234968185424,0.924315083026886,0.977483892440796,0.0191792803176655,0.0266839755453925,0.0009239528448351,7.2671304702758786,3.351224580134352,2.052156925201416,0.7435675227545272
"W/o effects",0.9353091716766356,0.918726646900177,0.9778875827789306,0.0186132400037758,0.0260845363613149,0.0013388878635961,7.443189334869385,3.393421067473424,2.126855421066284,0.7742382127425543
"No augmentations",0.9196130752563476,0.8996925115585327,0.9715159177780152,0.031357041737203,0.043063277644097,0.003225298488709,24.65453147888184,10.730311521657985,4.652892088890075,2.041221135107771
"Effects only",0.9290647983551026,0.911022126674652,0.9757549405097962,0.027673016092207,0.0384448976712118,0.0017171384625438,15.288756942749025,4.97793712391158,3.310513091087341,1.197687685047392
