"Augmentations","DICE mean","DICE (pe) mean","DICE (nf) mean","DICE std","DICE (pe) std","DICE (nf) std","Hausdorff 95 mean","Hausdorff 95 std","ASD mean","ASD std"
"All",0.9275850892066956,0.9107733488082884,0.9736458539962768,0.0222961334581155,0.0317594196016032,0.0013751538602174,10.464597988128665,3.5966884359636206,2.85846951007843,1.0392528346334642
"W/o CF",0.9251437544822692,0.9065493464469908,0.973204493522644,0.0301412502051057,0.0425398466023057,0.0011257214839599,13.545258522033691,10.55593880089578,3.320976448059082,1.973910136390944
"No augmentations",0.8579911828041077,0.8350667953491211,0.919603955745697,0.0509105190796359,0.0673254993645986,0.014438900694355,26.379619216918947,8.49193937637875,7.26281623840332,2.9271711918350123
"CF only",0.8914101958274842,0.8702106356620789,0.945868980884552,0.0407471209890938,0.0572127888498801,0.0093018359571787,18.024167442321776,8.35986490412167,4.410060214996338,2.13693695767912
