"Augmentations","DICE mean","DICE (pe) mean","DICE (nf) mean","DICE std","DICE (pe) std","DICE (nf) std","Hausdorff 95 mean","Hausdorff 95 std","ASD mean","ASD std"
"All",0.9314658403396606,0.9143374562263488,0.9761903285980223,0.0261098002419313,0.0364542199714293,0.0010887903666887,7.997880554199218,3.8552945452866303,2.963552784919739,1.9689461916826785
"W/o CF",0.927604615688324,0.9088112592697144,0.9751872539520264,0.0277452364392338,0.0385413313785857,0.0014112570148632,8.306514263153076,4.855209575536815,3.302595281600952,2.2731029405140064
"No augmentations",0.9214498281478882,0.9018075585365296,0.9722880005836488,0.0327933584917141,0.0453506160433261,0.0028669536797216,20.92886848449707,9.353493251330928,4.144865798950195,1.9615970538709184
"CF only",0.9285203695297242,0.9096701622009278,0.9768266081809998,0.025472670215752,0.0354012331400841,0.0011337081349713,11.350268459320068,5.724016594404351,2.6787808656692507,1.1194290375556075
