"Augmentations","DICE mean","DICE (pe) mean","DICE (nf) mean","DICE std","DICE (pe) std","DICE (nf) std","Hausdorff 95 mean","Hausdorff 95 std","ASD mean","ASD std"
"All",0.9393234968185424,0.924315083026886,0.977483892440796,0.0191792803176655,0.0266839755453925,0.0009239528448351,7.2671304702758786,3.351224580134352,2.052156925201416,0.7435675227545272
"W/o crop",0.933452582359314,0.9164382696151734,0.9774492144584656,0.0245221529266561,0.0337326628876402,0.0012250555018655,9.188207912445067,4.236185015294455,2.509361433982849,1.238638514475989
"No augmentations",0.9196130752563476,0.8996925115585327,0.9715159177780152,0.031357041737203,0.043063277644097,0.003225298488709,24.65453147888184,10.730311521657985,4.652892088890075,2.041221135107771
"Crop only",0.9385968208312988,0.9239076495170592,0.977516520023346,0.0234039732753103,0.0314690736682116,0.0007760624368529,6.467924213409424,3.665243854562098,2.070400524139404,0.9018370509762728
