"Augmentations","DICE mean","DICE (pe) mean","DICE (nf) mean","DICE std","DICE (pe) std","DICE (nf) std","Hausdorff 95 mean","Hausdorff 95 std","ASD mean","ASD std"
"All",0.9275850892066956,0.9107733488082884,0.9736458539962768,0.0222961334581155,0.0317594196016032,0.0013751538602174,10.464597988128665,3.5966884359636206,2.85846951007843,1.0392528346334642
"W/o rotation",0.9238789081573486,0.9058127164840698,0.9724440813064577,0.0268696819210129,0.0370816379910096,0.0020410714110641,11.233706188201904,6.033524908296273,3.1912753343582154,1.5800671379308435
"No augmentations",0.8579911828041077,0.8350667953491211,0.919603955745697,0.0509105190796359,0.0673254993645986,0.014438900694355,26.379619216918947,8.49193937637875,7.26281623840332,2.9271711918350123
"Rotation only",0.8628340482711792,0.8346405029296875,0.9355624198913576,0.0460340373489577,0.0578093170607161,0.0157064553148085,33.05516395568848,7.483602239695712,7.7626978874206545,2.690506742193993
