"Pre-training","DICE mean","DICE (pe) mean","DICE (nf) mean","DICE std","DICE (pe) std","DICE (nf) std","Hausdorff 95 mean","Hausdorff 95 std","ASD mean","ASD std"
"Segmentation",0.9364898324012756,0.9201737999916076,0.978058397769928,0.0233391364899618,0.0323350085013394,0.0019507036228726,7.281220245361328,1.7689112629519004,2.4638086557388306,1.2643816644696886
"MVD-CL",0.9226709961891174,0.903620994091034,0.971756875514984,0.0272555707905939,0.037894994201627,0.0025170907509808,9.105869007110597,4.85759042548368,2.609830474853516,1.1569170883920346
"SimCLR",0.9089899301528932,0.886107337474823,0.9670566558837892,0.0294476453799271,0.0414732517298199,0.0028362912073241,11.850296688079831,5.264945072021642,3.638011002540588,1.6335080601093976
"MVD-CL nu",0.8733720302581787,0.8509480476379394,0.9379151821136474,0.0428288549751713,0.0592003330157324,0.008964677916161,22.69391441345215,8.350866539070491,5.686225271224975,2.1399753622028257
"No augmentations",0.8705256819725037,0.8476227998733521,0.9358694314956664,0.0434168898405338,0.0562762391957958,0.0127820528437331,21.93679351806641,7.974339825475334,5.392870759963989,2.0535923340291187
