"Pre-training","DICE mean","DICE (pe) mean","DICE (nf) mean","DICE std","DICE (pe) std","DICE (nf) std","Hausdorff 95 mean","Hausdorff 95 std","ASD mean","ASD std"
"S-MVD-CL",0.9393234968185424,0.924315083026886,0.977483892440796,0.0191792803176655,0.0266839755453925,0.0009239528448351,7.2671304702758786,3.351224580134352,2.052156925201416,0.7435675227545272
"Segmentation",0.9364898324012756,0.9201737999916076,0.978058397769928,0.0233391364899618,0.0323350085013394,0.0019507036228726,7.281220245361328,1.7689112629519004,2.4638086557388306,1.2643816644696886
"S-MVD-CL nu",0.9196130752563476,0.8996925115585327,0.9715159177780152,0.031357041737203,0.043063277644097,0.003225298488709,24.65453147888184,10.730311521657985,4.652892088890075,2.041221135107771
"SimCLR",0.9089899301528932,0.886107337474823,0.9670566558837892,0.0294476453799271,0.0414732517298199,0.0028362912073241,11.850296688079831,5.264945072021642,3.638011002540588,1.6335080601093976
"No augmentations",0.8705256819725037,0.8476227998733521,0.9358694314956664,0.0434168898405338,0.0562762391957958,0.0127820528437331,21.93679351806641,7.974339825475334,5.392870759963989,2.0535923340291187
