"Pre-training","DICE mean","DICE (pe) mean","DICE (nf) mean","DICE std","DICE (pe) std","DICE (nf) std","Hausdorff 95 mean","Hausdorff 95 std","ASD mean","ASD std"
"Segmentation",0.9364898324012756,0.9201737999916076,0.978058397769928,0.0233391364899618,0.0323350085013394,0.0019507036228726,7.281220245361328,1.7689112629519004,2.4638086557388306,1.2643816644696886
"S-DVD-CL",0.9314658403396606,0.9143374562263488,0.9761903285980223,0.0261098002419313,0.0364542199714293,0.0010887903666887,7.997880554199218,3.8552945452866303,2.963552784919739,1.9689461916826785
"S-DVD-CL nu",0.9214498281478882,0.9018075585365296,0.9722880005836488,0.0327933584917141,0.0453506160433261,0.0028669536797216,20.92886848449707,9.353493251330928,4.144865798950195,1.9615970538709184
"SimCLR",0.9089899301528932,0.886107337474823,0.9670566558837892,0.0294476453799271,0.0414732517298199,0.0028362912073241,11.850296688079831,5.264945072021642,3.638011002540588,1.6335080601093976
"No augmentations",0.8705256819725037,0.8476227998733521,0.9358694314956664,0.0434168898405338,0.0562762391957958,0.0127820528437331,21.93679351806641,7.974339825475334,5.392870759963989,2.0535923340291187
