"Augmentations","DICE mean","DICE (pe) mean","DICE (nf) mean","DICE std","DICE (pe) std","DICE (nf) std","Hausdorff 95 mean","Hausdorff 95 std","ASD mean","ASD std"
"All",0.9226709961891174,0.903620994091034,0.971756875514984,0.0272555707905939,0.037894994201627,0.0025170907509808,9.105869007110597,4.85759042548368,2.609830474853516,1.1569170883920346
"W/o crop",0.9080218553543092,0.8853913187980652,0.9660398721694946,0.0424779539096538,0.0587674072947113,0.0055461930945947,12.74150390625,6.679252752175288,3.705819797515869,1.744564909837882
"No augmentations",0.8733720302581787,0.8509480476379394,0.9379151821136474,0.0428288549751713,0.0592003330157324,0.008964677916161,22.69391441345215,8.350866539070491,5.686225271224975,2.1399753622028257
"Crop only",0.9185103178024292,0.8994375109672547,0.9676084399223328,0.0286095907019043,0.0406525900655874,0.0033297103119891,9.537223052978517,4.286898662003852,3.015015149116516,1.5238812489699605
