"Pre-training","DICE mean","DICE (pe) mean","DICE (nf) mean","DICE std","DICE (pe) std","DICE (nf) std","Hausdorff 95 mean","Hausdorff 95 std","ASD mean","ASD std"
"Segmentation",0.9364898324012756,0.9201737999916076,0.978058397769928,0.0233391364899618,0.0323350085013394,0.0019507036228726,7.281220245361328,1.7689112629519004,2.4638086557388306,1.2643816644696886
"DVD-CL",0.9275850892066956,0.9107733488082884,0.9736458539962768,0.0222961334581155,0.0317594196016032,0.0013751538602174,10.464597988128665,3.5966884359636206,2.85846951007843,1.0392528346334642
"SimCLR",0.9089899301528932,0.886107337474823,0.9670566558837892,0.0294476453799271,0.0414732517298199,0.0028362912073241,11.850296688079831,5.264945072021642,3.638011002540588,1.6335080601093976
"No augmentations",0.8705256819725037,0.8476227998733521,0.9358694314956664,0.0434168898405338,0.0562762391957958,0.0127820528437331,21.93679351806641,7.974339825475334,5.392870759963989,2.0535923340291187
"DVD-CL nu",0.8579911828041077,0.8350667953491211,0.919603955745697,0.0509105190796359,0.0673254993645986,0.014438900694355,26.379619216918947,8.49193937637875,7.26281623840332,2.9271711918350123
