"Disease Counterfactuals","Scanner Counterfactuals","Rotation","Crop","Effects","DICE mean","DICE (pe) mean","DICE (nf) mean","DICE std","DICE (pe) std","DICE (nf) std","Hausdorff 95 mean","Hausdorff 95 std","ASD mean","ASD std"
False,False,False,True,False,0.9388558268547058,0.9251870155334472,0.9765803694725036,0.0214867569832391,0.0291808693562534,0.00126793296458,5.481886529922486,1.471620768454189,1.9854794025421143,0.7170887198064879
False,False,True,True,False,0.9380123734474182,0.9229425668716432,0.9768579006195068,0.0222993510517907,0.0306556489517775,0.0014967269466977,6.85376763343811,3.0984818230353133,2.0465808629989626,0.8342070115023346
True,True,False,False,True,0.9368939876556396,0.9216007590293884,0.9766971230506896,0.020788580477115,0.0292923180701109,0.0010082736731861,8.280609226226806,3.994661652378043,2.308576512336731,0.8554240551026935
False,False,False,True,True,0.9366408824920656,0.9208715200424196,0.9769355416297912,0.0254636113698794,0.0358125749744155,0.00032340974853,6.496455812454224,2.9927878156709906,1.8188959658145905,0.8463989202018475
True,True,False,True,True,0.9333573579788208,0.916434895992279,0.9763668298721312,0.0236444051826852,0.0335083424970621,0.0007955665690158,9.218668270111085,4.885323927729939,2.393592095375061,1.0049508544288996
False,False,False,False,True,0.9322791695594788,0.9146939516067504,0.977454137802124,0.0290067524880019,0.0403913562500332,0.0014336684456085,10.320040607452391,6.858075876357693,2.4135783910751343,1.4220479955698333
True,True,True,False,True,0.931858229637146,0.9149788856506348,0.9766104340553284,0.0251524305595855,0.0348042202940222,0.0018103186791752,10.515519046783448,5.510912859094551,2.637080931663513,1.2699854339157064
True,True,True,True,True,0.9314658403396606,0.9143374562263488,0.9761903285980223,0.0261098002419313,0.0364542199714293,0.0010887903666887,7.997880554199218,3.8552945452866303,2.963552784919739,1.9689461916826785
True,True,False,True,False,0.930837380886078,0.9134186625480653,0.9766908884048462,0.0258894441247673,0.0362471492823785,0.0014688876532654,7.386613655090332,2.963604240330177,2.7630717754364014,1.6151004246652405
True,True,True,True,False,0.9303881049156189,0.9118358969688416,0.9771911382675172,0.0253991446186079,0.035347274107137,0.001665657150564,8.193076276779175,4.28669454211797,2.518031787872314,1.3091501854705094
True,True,True,False,False,0.929147469997406,0.9102770090103148,0.9776162147521972,0.0278191575253404,0.0390853578433721,0.0007014474727746,10.556326055526734,5.931020925301689,2.982210397720337,1.4565638798536698
True,True,False,False,False,0.9285203695297242,0.9096701622009278,0.9768266081809998,0.025472670215752,0.0354012331400841,0.0011337081349713,11.350268459320068,5.724016594404351,2.6787808656692507,1.1194290375556075
False,False,True,True,True,0.927604615688324,0.9088112592697144,0.9751872539520264,0.0277452364392338,0.0385413313785857,0.0014112570148632,8.306514263153076,4.855209575536815,3.302595281600952,2.2731029405140064
False,False,True,False,False,0.9273422718048095,0.9086323976516724,0.9744577407836914,0.026717985356898,0.0375733735341167,0.0014465555313131,19.950481605529784,10.086314434289422,3.7594970703125,1.981577763886508
False,False,True,False,True,0.92696692943573,0.9076708436012269,0.977683162689209,0.031742691640903,0.0435778748574459,0.0011213439330068,9.787522888183592,6.215972481863287,2.9006210803985595,1.94602903375508
False,False,False,False,False,0.9214498281478882,0.9018075585365296,0.9722880005836488,0.0327933584917141,0.0453506160433261,0.0028669536797216,20.92886848449707,9.353493251330928,4.144865798950195,1.9615970538709184
