"Augmentations","DICE mean","DICE (pe) mean","DICE (nf) mean","DICE std","DICE (pe) std","DICE (nf) std","Hausdorff 95 mean","Hausdorff 95 std","ASD mean","ASD std"
"All",0.9275850892066956,0.9107733488082884,0.9736458539962768,0.0222961334581155,0.0317594196016032,0.0013751538602174,10.464597988128665,3.5966884359636206,2.85846951007843,1.0392528346334642
"W/o effects",0.9218629956245422,0.9026330590248108,0.9711286425590516,0.0311816039049649,0.043545348677384,0.0005807215050235,12.630813789367677,8.785288867147816,2.9872222661972048,1.5967139030021964
"No augmentations",0.8579911828041077,0.8350667953491211,0.919603955745697,0.0509105190796359,0.0673254993645986,0.014438900694355,26.379619216918947,8.49193937637875,7.26281623840332,2.9271711918350123
"Effects only",0.8980455756187439,0.8796912908554078,0.9468224048614502,0.0345895825176184,0.0483486399741788,0.0038285903607666,17.07790412902832,5.5634546104092095,4.024424052238464,1.4401145768947092
