"Augmentations","DICE mean","DICE (pe) mean","DICE (nf) mean","DICE std","DICE (pe) std","DICE (nf) std","Hausdorff 95 mean","Hausdorff 95 std","ASD mean","ASD std"
"All",0.9393234968185424,0.924315083026886,0.977483892440796,0.0191792803176655,0.0266839755453925,0.0009239528448351,7.2671304702758786,3.351224580134352,2.052156925201416,0.7435675227545272
"W/o CF",0.9330790877342224,0.9160630464553832,0.976931893825531,0.0249860104944718,0.0343570878597464,0.0012345292727962,7.114810085296631,3.355957934997627,2.209218645095825,0.9515498591501226
"No augmentations",0.9196130752563476,0.8996925115585327,0.9715159177780152,0.031357041737203,0.043063277644097,0.003225298488709,24.65453147888184,10.730311521657985,4.652892088890075,2.041221135107771
"CF only",0.9309542059898376,0.9138704180717468,0.9740103483200072,0.0259787664855898,0.0360365116718451,0.0019732796165523,14.228220462799072,8.88677721139902,2.867717170715332,1.5667683665603234
