"Augmentations","DICE mean","DICE (pe) mean","DICE (nf) mean","DICE std","DICE (pe) std","DICE (nf) std","Hausdorff 95 mean","Hausdorff 95 std","ASD mean","ASD std"
"All",0.9393234968185424,0.924315083026886,0.977483892440796,0.0191792803176655,0.0266839755453925,0.0009239528448351,7.2671304702758786,3.351224580134352,2.052156925201416,0.7435675227545272
"W/o rotation",0.9346946716308594,0.9178396224975586,0.9786428689956664,0.0242156583447415,0.0334319110685843,0.0012059695171735,5.946839952468872,2.2521210773715463,2.3054709672927856,1.1068495975376662
"No augmentations",0.9196130752563476,0.8996925115585327,0.9715159177780152,0.031357041737203,0.043063277644097,0.003225298488709,24.65453147888184,10.730311521657985,4.652892088890075,2.041221135107771
"Rotation only",0.92657710313797,0.9085170507431032,0.9727439284324646,0.0300796557347895,0.0412657500301191,0.0030244479819704,20.8867753982544,8.382832772378181,4.114565896987915,2.218898192805278
