"Disease Counterfactuals","Scanner Counterfactuals","Rotation","Crop","Effects","DICE mean","DICE (pe) mean","DICE (nf) mean","DICE std","DICE (pe) std","DICE (nf) std","Hausdorff 95 mean","Hausdorff 95 std","ASD mean","ASD std"
True,True,True,True,True,0.9275850892066956,0.9107733488082884,0.9736458539962768,0.0222961334581155,0.0317594196016032,0.0013751538602174,10.464597988128665,3.5966884359636206,2.85846951007843,1.0392528346334642
False,False,True,True,True,0.9251437544822692,0.9065493464469908,0.973204493522644,0.0301412502051057,0.0425398466023057,0.0011257214839599,13.545258522033691,10.55593880089578,3.320976448059082,1.973910136390944
True,True,False,True,True,0.9238789081573486,0.9058127164840698,0.9724440813064577,0.0268696819210129,0.0370816379910096,0.0020410714110641,11.233706188201904,6.033524908296273,3.1912753343582154,1.5800671379308435
False,False,False,True,True,0.9225945472717284,0.903317928314209,0.972161376476288,0.0266281033545029,0.0368238438245845,0.0015755553576353,10.359108638763429,3.6569928609761577,2.7897130727767943,1.136263114448441
True,True,True,True,False,0.9218629956245422,0.9026330590248108,0.9711286425590516,0.0311816039049649,0.043545348677384,0.0005807215050235,12.630813789367677,8.785288867147816,2.9872222661972048,1.5967139030021964
True,True,False,True,False,0.9206298947334288,0.901563847064972,0.9690955996513366,0.0292890512550656,0.0407225265223829,0.0018035236473478,9.781068325042725,4.291525259919788,2.760741138458252,1.5652246680971929
False,False,True,True,False,0.920252013206482,0.9009117960929872,0.9705603241920472,0.0311424770107788,0.0439001827770114,0.0018370244621917,14.997171974182129,11.794415836349602,3.4416674375534058,2.23466052100788
False,False,True,False,True,0.9201780915260316,0.902052402496338,0.966507649421692,0.0228320513962334,0.0320208167896408,0.0026067876120121,11.03396463394165,2.9379112135531207,2.910236859321594,0.8518316692102628
True,True,True,False,False,0.918672263622284,0.8997462749481201,0.9670750498771667,0.029493058964066,0.0412501340102013,0.0018910771830598,10.995201206207277,5.676682427912813,3.211315321922302,1.591154840570148
True,True,False,False,True,0.914041531085968,0.8944280862808227,0.9635549545288086,0.0322006596476079,0.0452275806396147,0.002059619355606,10.40056209564209,5.805200703743021,3.241988039016724,1.506063691925434
True,True,True,False,True,0.9129502177238464,0.8922747731208801,0.9656521916389466,0.0318460726918905,0.0447944008000372,0.003227232128346,13.144074821472168,7.9740405711200255,3.250000762939453,1.6193578483194575
True,False,True,False,True,0.9089899301528932,0.886107337474823,0.9670566558837892,0.0294476453799271,0.0414732517298199,0.0028362912073241,11.850296688079831,5.264945072021642,3.638011002540588,1.6335080601093976
False,False,False,True,False,0.9061692714691162,0.8849495768547058,0.9657378911972044,0.0421654523751842,0.0586713458207417,0.0038225207103981,14.64819278717041,9.51846323761059,3.6824689388275145,2.036324016778799
False,False,False,False,True,0.8980455756187439,0.8796912908554078,0.9468224048614502,0.0345895825176184,0.0483486399741788,0.0038285903607666,17.07790412902832,5.5634546104092095,4.024424052238464,1.4401145768947092
True,True,False,False,False,0.8914101958274842,0.8702106356620789,0.945868980884552,0.0407471209890938,0.0572127888498801,0.0093018359571787,18.024167442321776,8.35986490412167,4.410060214996338,2.13693695767912
False,False,True,False,False,0.8628340482711792,0.8346405029296875,0.9355624198913576,0.0460340373489577,0.0578093170607161,0.0157064553148085,33.05516395568848,7.483602239695712,7.7626978874206545,2.690506742193993
False,False,False,False,False,0.8579911828041077,0.8350667953491211,0.919603955745697,0.0509105190796359,0.0673254993645986,0.014438900694355,26.379619216918947,8.49193937637875,7.26281623840332,2.9271711918350123
