"Augmentations","DICE mean","DICE (pe) mean","DICE (nf) mean","DICE std","DICE (pe) std","DICE (nf) std","Hausdorff 95 mean","Hausdorff 95 std","ASD mean","ASD std"
"All",0.9226709961891174,0.903620994091034,0.971756875514984,0.0272555707905939,0.037894994201627,0.0025170907509808,9.105869007110597,4.85759042548368,2.609830474853516,1.1569170883920346
"W/o rotation",0.9192756414413452,0.900408673286438,0.9701523900032044,0.0250924313725274,0.0344426777477485,0.0046842554769578,9.795314407348632,3.802812904198397,2.6544782876968385,0.9632781724172556
"No augmentations",0.8733720302581787,0.8509480476379394,0.9379151821136474,0.0428288549751713,0.0592003330157324,0.008964677916161,22.69391441345215,8.350866539070491,5.686225271224975,2.1399753622028257
"Rotation only",0.8640316367149353,0.8390253186225891,0.9315691351890564,0.0411592631784628,0.0561123101269817,0.0106501647139203,25.509809494018555,6.76978941485319,6.624136638641358,2.248934139611624
