"Augmentations","DICE mean","DICE (pe) mean","DICE (nf) mean","DICE std","DICE (pe) std","DICE (nf) std","Hausdorff 95 mean","Hausdorff 95 std","ASD mean","ASD std"
"All",0.9314658403396606,0.9143374562263488,0.9761903285980223,0.0261098002419313,0.0364542199714293,0.0010887903666887,7.997880554199218,3.8552945452866303,2.963552784919739,1.9689461916826785
"W/o crop",0.931858229637146,0.9149788856506348,0.9766104340553284,0.0251524305595855,0.0348042202940222,0.0018103186791752,10.515519046783448,5.510912859094551,2.637080931663513,1.2699854339157064
"No augmentations",0.9214498281478882,0.9018075585365296,0.9722880005836488,0.0327933584917141,0.0453506160433261,0.0028669536797216,20.92886848449707,9.353493251330928,4.144865798950195,1.9615970538709184
"Crop only",0.9388558268547058,0.9251870155334472,0.9765803694725036,0.0214867569832391,0.0291808693562534,0.00126793296458,5.481886529922486,1.471620768454189,1.9854794025421143,0.7170887198064879
