"Augmentations","DICE mean","DICE (pe) mean","DICE (nf) mean","DICE std","DICE (pe) std","DICE (nf) std","Hausdorff 95 mean","Hausdorff 95 std","ASD mean","ASD std"
"All",0.9226709961891174,0.903620994091034,0.971756875514984,0.0272555707905939,0.037894994201627,0.0025170907509808,9.105869007110597,4.85759042548368,2.609830474853516,1.1569170883920346
"W/o effects",0.9194934487342834,0.901016628742218,0.9685741901397704,0.029869358649475,0.0420364611111865,0.0027821649466282,9.895104312896729,5.460538696544869,2.7915218353271483,1.3261489005621567
"No augmentations",0.8733720302581787,0.8509480476379394,0.9379151821136474,0.0428288549751713,0.0592003330157324,0.008964677916161,22.69391441345215,8.350866539070491,5.686225271224975,2.1399753622028257
"Effects only",0.8920780062675476,0.8708629727363586,0.9473291873931884,0.0391387101146556,0.0541650851419433,0.0080998448642832,17.869877815246582,7.359601809332002,4.290272331237793,1.793352736194427
