"Disease CF","Scanner CF","Rotation","Crop","Effects","DICE mean","DICE (nf) mean","DICE (pe) mean","DICE std","DICE (nf) std","DICE (pe) std","Hausdorff 95 mean","Hausdorff 95 std","Hausdorff 95 (nf) mean","Hausdorff 95 (nf) std","Hausdorff 95 (pe) mean","Hausdorff 95 (pe) std","ASD mean","ASD std","ASD (nf) mean","ASD (nf) std","ASD (pe) mean","ASD (pe) std"
True,True,True,True,True,0.9226709961891174,0.971756875514984,0.903620994091034,0.0272555707905939,0.0025170907509808,0.037894994201627,9.105869007110597,4.85759042548368,2.574975299835205,0.3555029183810764,11.584183025360108,6.858231632460018,2.609830474853516,1.1569170883920346,0.9990326881408692,0.0999398401959992,3.237514877319336,1.6172647982138737
True,True,False,True,False,0.92038232088089,0.9703139424324037,0.9007863759994508,0.0256172954817312,0.0019621094306616,0.0355041085826102,8.751864910125732,3.782401932955138,2.806599998474121,0.3652012146696965,11.05887336730957,5.182383738740828,2.7895555019378664,1.0999855677920547,1.0760460495948792,0.0912692806921714,3.4518789768219,1.5169418743777074
False,False,False,True,True,0.9198065400123596,0.967591404914856,0.901567542552948,0.0268781237696974,0.0016354118201892,0.0366338473371003,8.872590255737304,4.394574673250778,3.198079252243042,0.5782970757718017,11.137492370605468,6.006355993041283,2.800063300132752,1.3218865774424775,1.2008413553237915,0.136588743432528,3.417697191238404,1.7980864888405168
True,True,True,True,False,0.9194934487342834,0.9685741901397704,0.901016628742218,0.029869358649475,0.0027821649466282,0.0420364611111865,9.895104312896729,5.460538696544869,3.4149956703186035,1.316521472530821,11.432838630676269,6.661559939027174,2.7915218353271483,1.3261489005621567,1.1360490798950196,0.1170205966150652,3.3777141094207765,1.8857255810168083
True,True,False,True,True,0.9192756414413452,0.9701523900032044,0.900408673286438,0.0250924313725274,0.0046842554769578,0.0344426777477485,9.795314407348632,3.802812904198397,3.2717207431793214,1.2396246651299565,11.803783512115478,4.58692965464912,2.6544782876968385,0.9632781724172556,1.1171806812286378,0.2512337241900957,3.1396443128585814,1.2586679101202949
False,False,False,True,False,0.9185103178024292,0.9676084399223328,0.8994375109672547,0.0286095907019043,0.0033297103119891,0.0406525900655874,9.537223052978517,4.286898662003852,3.102875804901123,0.2294461564264499,11.935075569152833,6.113875087059196,3.015015149116516,1.5238812489699605,1.125573253631592,0.0708553248444048,3.704713606834412,2.128772062627929
False,False,True,True,True,0.917940068244934,0.9676625609397888,0.8984110355377197,0.0270809810002782,0.0034775005081475,0.0386598067941873,8.419460105895997,3.4807868141635714,2.875240755081177,0.2987635018216166,10.602778148651122,4.895051378675713,3.4385543346405028,2.1689153094365987,1.1457109689712524,0.1022134893136622,4.274512529373169,2.930526400154748
False,False,True,True,False,0.9158966660499572,0.964366102218628,0.8978606104850769,0.0314039737280069,0.0042301036435052,0.0445242538346812,11.389625740051269,6.883601401048782,3.3979289054870607,0.384864132525864,14.07406520843506,9.70490054564343,3.226832604408264,1.7753995650587242,1.2660342693328857,0.1227365049110926,3.93733229637146,2.4892091930974165
True,True,False,False,True,0.9132702827453614,0.9628475308418274,0.8937729477882386,0.0287152084452717,0.003951144346737,0.0405359451329403,12.045139026641843,4.878997103981251,3.8524840831756593,0.69585744498265,14.988097858428954,6.830950333374488,3.0891298770904543,1.2604703896685032,1.300007438659668,0.0857938770484257,3.797999143600464,1.7618495417144828
False,False,True,False,True,0.9103004693984984,0.9668156147003174,0.8893029093742371,0.0275363868887918,0.0034356315704542,0.0375933527392094,13.787654876708984,4.988265784553432,4.666283845901489,2.3438102403350123,16.58109817504883,6.079806550052598,3.586038947105408,1.307490977789835,1.3278632402420043,0.2396992690087667,4.448538017272949,1.7741829845634782
True,True,True,False,False,0.9089392781257628,0.961962914466858,0.8890252113342285,0.0348711063414339,0.0041505423573748,0.0480508310699257,12.565215969085694,6.77911157811395,3.806093978881836,0.789801923046272,15.60176191329956,9.235437453426062,3.352563667297363,1.5210975595422758,1.3485376119613648,0.1491482146883378,4.09609158039093,2.121232995618661
True,True,True,False,True,0.9080218553543092,0.9660398721694946,0.8853913187980652,0.0424779539096538,0.0055461930945947,0.0587674072947113,12.74150390625,6.679252752175288,3.2317392349243166,0.5527875527468693,15.863741874694824,8.764666254597318,3.705819797515869,1.744564909837882,1.206480622291565,0.1891968236105327,4.644452142715454,2.4157071409746065
False,False,False,False,True,0.8920780062675476,0.9473291873931884,0.8708629727363586,0.0391387101146556,0.0080998448642832,0.0541650851419433,17.869877815246582,7.359601809332002,7.686783695220948,2.6663252803681194,21.193394660949707,8.985767009591408,4.290272331237793,1.793352736194427,2.1109292984008787,0.4397781376863028,5.081570959091186,2.4607289988563124
True,True,False,False,False,0.8913772225379943,0.9465854287147522,0.8701104164123535,0.0321342550247636,0.007068680469347,0.0447102326961557,13.754994964599607,4.734342962951088,6.063040733337402,0.8981225167771031,16.523942756652833,6.507746940767781,4.19699501991272,1.3880842486110263,1.8877636671066285,0.1739163128469846,5.087135553359985,1.940038325025237
False,False,False,False,False,0.8733720302581787,0.9379151821136474,0.8509480476379394,0.0428288549751713,0.008964677916161,0.0592003330157324,22.69391441345215,8.350866539070491,10.022087478637696,5.232769074313119,25.348387908935543,7.944502831500346,5.686225271224975,2.1399753622028257,2.5003252983093263,0.5792989513181994,6.49158353805542,2.4740246829126744
