"Augmentations","DICE mean","DICE (pe) mean","DICE (nf) mean","DICE std","DICE (pe) std","DICE (nf) std","Hausdorff 95 mean","Hausdorff 95 std","ASD mean","ASD std"
"All",0.9314658403396606,0.9143374562263488,0.9761903285980223,0.0261098002419313,0.0364542199714293,0.0010887903666887,7.997880554199218,3.8552945452866303,2.963552784919739,1.9689461916826785
"W/o effects",0.9303881049156189,0.9118358969688416,0.9771911382675172,0.0253991446186079,0.035347274107137,0.001665657150564,8.193076276779175,4.28669454211797,2.518031787872314,1.3091501854705094
"No augmentations",0.9214498281478882,0.9018075585365296,0.9722880005836488,0.0327933584917141,0.0453506160433261,0.0028669536797216,20.92886848449707,9.353493251330928,4.144865798950195,1.9615970538709184
"Effects only",0.9322791695594788,0.9146939516067504,0.977454137802124,0.0290067524880019,0.0403913562500332,0.0014336684456085,10.320040607452391,6.858075876357693,2.4135783910751343,1.4220479955698333
