"Augmentations","DICE mean","DICE (pe) mean","DICE (nf) mean","DICE std","DICE (pe) std","DICE (nf) std","Hausdorff 95 mean","Hausdorff 95 std","ASD mean","ASD std"
"All",0.9314658403396606,0.9143374562263488,0.9761903285980223,0.0261098002419313,0.0364542199714293,0.0010887903666887,7.997880554199218,3.8552945452866303,2.963552784919739,1.9689461916826785
"W/o rotation",0.9333573579788208,0.916434895992279,0.9763668298721312,0.0236444051826852,0.0335083424970621,0.0007955665690158,9.218668270111085,4.885323927729939,2.393592095375061,1.0049508544288996
"No augmentations",0.9214498281478882,0.9018075585365296,0.9722880005836488,0.0327933584917141,0.0453506160433261,0.0028669536797216,20.92886848449707,9.353493251330928,4.144865798950195,1.9615970538709184
"Rotation only",0.9273422718048095,0.9086323976516724,0.9744577407836914,0.026717985356898,0.0375733735341167,0.0014465555313131,19.950481605529784,10.086314434289422,3.7594970703125,1.981577763886508
