"Augmentations","DICE mean","DICE (pe) mean","DICE (nf) mean","DICE std","DICE (pe) std","DICE (nf) std","Hausdorff 95 mean","Hausdorff 95 std","ASD mean","ASD std"
"All",0.9275850892066956,0.9107733488082884,0.9736458539962768,0.0222961334581155,0.0317594196016032,0.0013751538602174,10.464597988128665,3.5966884359636206,2.85846951007843,1.0392528346334642
"W/o crop",0.9129502177238464,0.8922747731208801,0.9656521916389466,0.0318460726918905,0.0447944008000372,0.003227232128346,13.144074821472168,7.9740405711200255,3.250000762939453,1.6193578483194575
"No augmentations",0.8579911828041077,0.8350667953491211,0.919603955745697,0.0509105190796359,0.0673254993645986,0.014438900694355,26.379619216918947,8.49193937637875,7.26281623840332,2.9271711918350123
"Crop only",0.9061692714691162,0.8849495768547058,0.9657378911972044,0.0421654523751842,0.0586713458207417,0.0038225207103981,14.64819278717041,9.51846323761059,3.6824689388275145,2.036324016778799
