"Disease Counterfactuals","Scanner Counterfactuals","Rotation","Crop","Effects","DICE mean","DICE (pe) mean","DICE (nf) mean","DICE std","DICE (pe) std","DICE (nf) std","Hausdorff 95 mean","Hausdorff 95 std","ASD mean","ASD std"
True,False,True,True,True,0.9394911289215088,0.9249831318855286,0.9779264807701112,0.0205272484559369,0.0281943576827742,0.0010935633774533,6.08646821975708,2.4059564644774825,1.8788331747055047,0.6530857312016665
True,True,True,True,True,0.9393234968185424,0.924315083026886,0.977483892440796,0.0191792803176655,0.0266839755453925,0.0009239528448351,7.2671304702758786,3.351224580134352,2.052156925201416,0.7435675227545272
False,False,False,True,False,0.9385968208312988,0.9239076495170592,0.977516520023346,0.0234039732753103,0.0314690736682116,0.0007760624368529,6.467924213409424,3.665243854562098,2.070400524139404,0.9018370509762728
False,False,True,True,False,0.9360977292060852,0.919638729095459,0.9777333736419678,0.0264227984986861,0.0363151030098291,0.0019673921138899,7.105855894088745,3.4065737098792246,2.3829237699508665,1.2399594382246086
True,True,True,True,False,0.9353091716766356,0.918726646900177,0.9778875827789306,0.0186132400037758,0.0260845363613149,0.0013388878635961,7.443189334869385,3.393421067473424,2.126855421066284,0.7742382127425543
True,True,False,True,True,0.9346946716308594,0.9178396224975586,0.9786428689956664,0.0242156583447415,0.0334319110685843,0.0012059695171735,5.946839952468872,2.2521210773715463,2.3054709672927856,1.1068495975376662
True,True,False,True,False,0.933919894695282,0.9179208159446716,0.9762969136238098,0.0254598103963919,0.0352945111085193,0.0003526201161106,6.864040088653565,2.987103271447096,2.256888604164124,1.0261394665740011
True,True,True,False,True,0.933452582359314,0.9164382696151734,0.9774492144584656,0.0245221529266561,0.0337326628876402,0.0012250555018655,9.188207912445067,4.236185015294455,2.509361433982849,1.238638514475989
False,False,True,True,True,0.9330790877342224,0.9160630464553832,0.976931893825531,0.0249860104944718,0.0343570878597464,0.0012345292727962,7.114810085296631,3.355957934997627,2.209218645095825,0.9515498591501226
False,False,False,True,True,0.9318863987922668,0.9137592673301695,0.9785476684570312,0.0280314952434343,0.0391731959527064,0.001187338949,7.7340435028076175,3.6379047844169454,2.844191145896912,1.840879802488918
True,True,False,False,False,0.9309542059898376,0.9138704180717468,0.9740103483200072,0.0259787664855898,0.0360365116718451,0.0019732796165523,14.228220462799072,8.88677721139902,2.867717170715332,1.5667683665603234
True,True,False,False,True,0.9306419134140016,0.9135263204574584,0.9758523821830748,0.0267721171774186,0.0372429679959838,0.001553045037204,12.200569915771483,7.89197942675015,2.8373387098312377,1.5736360579478923
False,False,True,False,True,0.9298906683921814,0.9111611008644104,0.9777221798896788,0.0278131723367194,0.0390768917519213,0.0005402833563879,10.105111026763916,3.478481582229056,2.669254922866821,1.2333044105432982
False,False,False,False,True,0.9290647983551026,0.911022126674652,0.9757549405097962,0.027673016092207,0.0384448976712118,0.0017171384625438,15.288756942749025,4.97793712391158,3.310513091087341,1.197687685047392
True,True,True,False,False,0.9276555895805358,0.9082933068275452,0.976647675037384,0.0334171700476767,0.04662835489025,0.0012742339856406,12.10929651260376,4.834447105872086,3.137981581687927,1.6981571523540595
False,False,True,False,False,0.92657710313797,0.9085170507431032,0.9727439284324646,0.0300796557347895,0.0412657500301191,0.0030244479819704,20.8867753982544,8.382832772378181,4.114565896987915,2.218898192805278
False,False,False,False,False,0.9196130752563476,0.8996925115585327,0.9715159177780152,0.031357041737203,0.043063277644097,0.003225298488709,24.65453147888184,10.730311521657985,4.652892088890075,2.041221135107771
