"Augmentations","DICE mean","DICE (pe) mean","DICE (nf) mean","DICE std","DICE (pe) std","DICE (nf) std","Hausdorff 95 mean","Hausdorff 95 std","ASD mean","ASD std"
"All",0.9226709961891174,0.903620994091034,0.971756875514984,0.0272555707905939,0.037894994201627,0.0025170907509808,9.105869007110597,4.85759042548368,2.609830474853516,1.1569170883920346
"W/o CF",0.917940068244934,0.8984110355377197,0.9676625609397888,0.0270809810002782,0.0386598067941873,0.0034775005081475,8.419460105895997,3.4807868141635714,3.4385543346405028,2.1689153094365987
"No augmentations",0.8733720302581787,0.8509480476379394,0.9379151821136474,0.0428288549751713,0.0592003330157324,0.008964677916161,22.69391441345215,8.350866539070491,5.686225271224975,2.1399753622028257
"CF only",0.8913772225379943,0.8701104164123535,0.9465854287147522,0.0321342550247636,0.0447102326961557,0.007068680469347,13.754994964599607,4.734342962951088,4.19699501991272,1.3880842486110263
